speaker,start_time,end_time,text
Μαρία Παπαδοπούλου,1.0,4.4,Πώς εεε θα επηρεαστούν οι αγρότες;
Hans Mueller,5.4,6.5,Ach so.
Carmen Lopez,7.7,11.1,¿Hay datos que lo respalden?
John Smith,11.8,13.6,You're right.
Pierre Dubois,14.3,20.3,Je ne suis pas d'accord avec cette méthode.
John Smith,21.6,25.8,I believe like we must reduce emissions now.
Carmen Lopez,26.9,31.5,Hay que apoyar a las regiones mineras.
Μαρία Παπαδοπούλου,33.0,39.0,"εμ..., Η Ελλάδα έχει τεράστιο δυναμικό σε ανανεώσιμες πηγές."
Pierre Dubois,39.3,44.4,"enfin, Je pense qu'il faut réduire les émissions immédiatement."
John Smith,45.2,48.5,What about developing countries?
Hans Mueller,49.9,54.8,Vielleicht sollten wir die Kernenergie nicht ausschließen.
Pierre Dubois,55.8,61.4,La France euh mise sur le nucléaire décarboné.
Carmen Lopez,62.3,67.5,No estoy de acuerdo con esa política.
Μαρία Παπαδοπούλου,68.0,74.4,Πιστεύω ότι πρέπει να μειώσουμε τις εκπομπές άμεσα.
Hans Mueller,75.7,79.1,Wie finanzieren wir das?
Pierre Dubois,79.8,86.8,Je pense hein qu'il faut réduire les émissions immédiatement.
Μαρία Παπαδοπούλου,88.1,92.0,Δεν συμφωνώ με αυτή την προσέγγιση.
John Smith,92.3,96.6,How do we finance this?
Μαρία Παπαδοπούλου,97.1,103.5,Μήπως να εμ... εξετάσουμε και την κοινωνική διάσταση;
Carmen Lopez,104.6,109.8,Quizás deberíamos fomentar el transporte público.
Pierre Dubois,109.9,112.5,Tout euh à fait d'accord.
Μαρία Παπαδοπούλου,113.3,117.6,"λοιπόν, Τι προτείνετε για τη χρηματοδότηση;"
Carmen Lopez,118.4,121.4,¿Qué impacto tendrá eh en el empleo?
Μαρία Παπαδοπούλου,121.5,126.1,Πιστεύω ότι πρέπει να μειώσουμε τις εκπομπές άμεσα.
Pierre Dubois,127.5,130.4,"bah, Quel impact sur l'emploi?"
Μαρία Παπαδοπούλου,131.9,133.4,Ενδιαφέρον...
Pierre Dubois,134.8,138.2,Quel impact sur l'emploi?
Μαρία Παπαδοπούλου,138.8,144.2,Οι τοπικές κοινωνίες χρειάζονται οικονομική στήριξη.
Carmen Lopez,144.3,147.9,"mmm, ¿Qué impacto tendrá en el empleo?"
John Smith,148.2,152.8,Perhaps we could consider carbon capture technology.
Μαρία Παπαδοπούλου,153.7,159.3,Η Ελλάδα έχει τεράστιο δυναμικό σε ανανεώσιμες πηγές.
Hans Mueller,159.9,166.0,Das ist zu teuer und nicht umsetzbar.
John Smith,166.8,169.1,What about developing countries?
Μαρία Παπαδοπούλου,169.2,170.9,Ενδιαφέρον...
Pierre Dubois,172.2,178.2,La France mise sur le nucléaire décarboné.
Hans Mueller,178.3,181.1,Sie haben recht.
John Smith,182.0,188.9,I believe we must reduce emissions um now.
